Name,Age,Score
Alice,27,81
Bob,32,71
Alice,34,89
Bob,34,72
Bob,27,80
Charlie,27,77
Charlie,32,75
Alice,26,77
Charlie,28,80
Bob,28,85
Charlie,26,78
Alice,29,78
Bob,36,88
Alice,30,88
Alice,28,97
Charlie,39,84
Charlie,27,83
Bob,38,77
Bob,33,80
Alice,37,93
Alice,36,90
Alice,26,74
Alice,32,84
Charlie,31,98
Charlie,31,84
Alice,33,90
Charlie,39,78
Alice,36,71
Charlie,27,91
Charlie,32,99
Alice,33,79
Bob,26,77
Bob,32,85
Charlie,36,92
Charlie,36,91
Charlie,26,93
Alice,28,91
Alice,26,75
Bob,34,73
Alice,27,71
Bob,31,80
Bob,26,70
Bob,37,89
Bob,38,97
Bob,29,80
Alice,31,70
Alice,34,85
Charlie,29,86
Charlie,35,71
Alice,28,86
Alice,29,90
Charlie,29,97
Bob,31,88
Alice,32,73
Alice,33,82
Bob,31,73
Charlie,29,96
Alice,38,74
Bob,30,83
Bob,35,88
Bob,28,92
Charlie,29,77
Bob,39,89
Alice,34,76
Charlie,26,98
Bob,36,89
Charlie,39,81
Bob,28,90
Charlie,34,90
Alice,35,89
Charlie,31,81
Alice,28,76
Alice,29,91
Bob,27,82
Alice,36,91
Bob,35,75
