Name,Age,City
Alice,28,San Francisco
Bob,38,Los Angeles
Charlie,30,New York
Alice,33,New York
Bob,23,New York
Charlie,24,New York
Alice,29,New York
Bob,30,San Francisco
Charlie,25,Los Angeles
Alice,35,Los Angeles
Bob,36,Los Angeles
Charlie,20,San Francisco
Alice,34,Los Angeles
Bob,30,San Francisco
Charlie,38,Los Angeles
Alice,27,Los Angeles
Bob,33,San Francisco
Charlie,39,New York
Alice,30,San Francisco
Bob,38,Los Angeles
Charlie,38,New York
Alice,34,Los Angeles
Bob,25,San Francisco
Charlie,36,Los Angeles
Alice,28,Los Angeles
Bob,33,Los Angeles
Charlie,35,New York
Alice,25,New York
Bob,28,San Francisco
Charlie,31,San Francisco
Alice,20,San Francisco
Bob,27,Los Angeles
Charlie,27,New York
Alice,28,San Francisco
Bob,25,San Francisco
Charlie,32,San Francisco
Alice,29,San Francisco
Bob,27,New York
Charlie,25,Los Angeles
Alice,39,Los Angeles
Bob,32,San Francisco
Charlie,37,Los Angeles
Alice,24,New York
Bob,29,Los Angeles
Charlie,27,Los Angeles
Alice,37,New York
Bob,27,San Francisco
Charlie,33,San Francisco
Alice,28,San Francisco
Bob,39,New York
Charlie,38,New York
Alice,31,San Francisco
Bob,27,New York
Charlie,25,San Francisco
Alice,36,Los Angeles
Bob,36,New York
Charlie,29,Los Angeles
Alice,37,San Francisco
Bob,39,San Francisco
Charlie,39,New York
Alice,20,San Francisco
Bob,20,Los Angeles
Charlie,36,San Francisco
Alice,26,New York
Bob,27,Los Angeles
Charlie,37,New York
Alice,29,San Francisco
Bob,35,Los Angeles
Charlie,32,Los Angeles
Alice,28,Los Angeles
Bob,36,San Francisco
Charlie,35,New York
Alice,21,San Francisco
Bob,31,San Francisco
Charlie,21,New York
Alice,33,New York
Bob,35,New York
Charlie,30,New York
Alice,26,San Francisco
Bob,37,New York
Charlie,20,San Francisco
Alice,37,New York
Bob,31,San Francisco
Charlie,29,San Francisco
Alice,22,San Francisco
Bob,25,New York
Charlie,38,San Francisco
Alice,34,Los Angeles
Bob,24,New York
Charlie,33,San Francisco
Alice,24,Los Angeles
Bob,29,Los Angeles
Charlie,39,Los Angeles
Alice,20,New York
Bob,31,New York
Charlie,26,Los Angeles
Alice,20,San Francisco
Bob,27,San Francisco
Charlie,32,San Francisco
Alice,30,San Francisco
Bob,28,New York
Charlie,33,San Francisco
Alice,30,San Francisco
Bob,35,Los Angeles
Charlie,27,San Francisco
Alice,24,San Francisco
Bob,39,San Francisco
Charlie,37,New York
Alice,21,New York
Bob,39,Los Angeles
Charlie,29,New York
Alice,24,Los Angeles
Bob,32,Los Angeles
Charlie,30,Los Angeles
Alice,26,San Francisco
Bob,38,San Francisco
Charlie,23,New York
Alice,29,Los Angeles
Bob,31,New York
Charlie,20,New York
Alice,39,Los Angeles
Bob,26,New York
Charlie,37,New York
Alice,25,New York
Bob,35,New York
Charlie,24,New York
Alice,22,New York
Bob,39,Los Angeles
Charlie,34,San Francisco
Alice,39,Los Angeles
Bob,25,Los Angeles
Charlie,35,Los Angeles
Alice,35,New York
Bob,32,Los Angeles
Charlie,24,Los Angeles
Alice,20,Los Angeles
Bob,33,Los Angeles
Charlie,22,Los Angeles
Alice,28,San Francisco
Bob,25,Los Angeles
Charlie,34,San Francisco
Alice,34,San Francisco
Bob,39,New York
Charlie,27,Los Angeles
Alice,29,Los Angeles
Bob,23,Los Angeles
Charlie,34,San Francisco
Alice,22,Los Angeles
Bob,28,New York
Charlie,33,Los Angeles
Alice,26,San Francisco
Bob,36,New York
Charlie,34,New York
Alice,30,New York
Bob,28,Los Angeles
Charlie,35,New York
Alice,25,San Francisco
Bob,21,San Francisco
Charlie,34,Los Angeles
Alice,23,San Francisco
Bob,20,New York
Charlie,22,New York
Alice,25,Los Angeles
Bob,32,San Francisco
Charlie,21,San Francisco
Alice,37,New York
Bob,31,San Francisco
Charlie,35,San Francisco
Alice,20,Los Angeles
Bob,34,New York
Charlie,22,Los Angeles
Alice,32,San Francisco
Bob,32,Los Angeles
Charlie,34,New York
Alice,29,Los Angeles
Bob,25,New York
Charlie,32,Los Angeles
Alice,35,Los Angeles
Bob,26,Los Angeles
Charlie,36,Los Angeles
Alice,25,New York
Bob,27,New York
Charlie,33,New York
Alice,30,New York
Bob,33,Los Angeles
Charlie,22,Los Angeles
Alice,34,New York
Bob,37,Los Angeles
Charlie,32,San Francisco
Alice,39,New York
Bob,27,San Francisco
Charlie,37,New York
Alice,39,New York
Bob,34,New York
Charlie,23,New York
Alice,23,San Francisco
Bob,32,New York
Charlie,34,Los Angeles
Alice,38,New York
Bob,21,Los Angeles
Charlie,21,Los Angeles
Alice,21,New York
Bob,35,New York
Charlie,35,New York
Alice,31,San Francisco
Bob,32,San Francisco
Charlie,38,New York
Alice,22,Los Angeles
Bob,39,New York
Charlie,36,Los Angeles
Alice,35,Los Angeles
Bob,28,New York
Charlie,35,Los Angeles
Alice,26,Los Angeles
Bob,33,San Francisco
Charlie,36,Los Angeles
Alice,29,San Francisco
Bob,30,San Francisco
Charlie,34,Los Angeles
Alice,32,New York
Bob,20,San Francisco
Charlie,23,San Francisco
Alice,36,San Francisco
Bob,35,San Francisco
Charlie,21,New York
Alice,20,Los Angeles
Bob,27,San Francisco
Charlie,24,San Francisco
Alice,20,San Francisco
Bob,26,Los Angeles
Charlie,20,Los Angeles
Alice,20,San Francisco
Bob,26,New York
Charlie,31,Los Angeles
Alice,21,San Francisco
Bob,20,San Francisco
