Name,Age,Score
Charlie,22,72
Alice,38,87
Alice,27,80
Bob,27,70
Alice,20,77
Charlie,33,88
Charlie,37,85
Alice,24,99
Alice,37,87
Charlie,22,93
Alice,26,74
Charlie,33,88
Alice,37,90
Bob,37,77
Charlie,22,72
Alice,26,80
Bob,27,89
Alice,32,88
Charlie,34,94
Bob,36,77
Charlie,21,98
Charlie,29,73
Alice,20,70
Alice,20,93
Bob,30,86
Charlie,22,76
Charlie,29,76
Alice,24,84
Alice,35,88
Alice,26,90
Charlie,20,72
Charlie,21,91
Charlie,37,74
Bob,33,90
Bob,31,94
Charlie,33,77
Bob,29,76
Bob,32,93
Charlie,23,82
Charlie,32,85
Alice,23,97
Bob,32,86
Alice,37,84
Bob,25,98
Bob,30,80
Bob,27,71
Bob,29,80
Alice,30,92
Charlie,20,79
Bob,26,77
Alice,33,78
Bob,22,71
Alice,36,72
Charlie,22,87
Bob,30,92
Charlie,23,85
Charlie,38,92
Charlie,23,87
Bob,31,78
Alice,34,91
Alice,31,71
Alice,38,74
Alice,32,73
Bob,33,89
Bob,31,95
Bob,36,92
Bob,36,73
Alice,20,91
Alice,29,98
Charlie,25,79
Charlie,39,89
Charlie,30,95
Charlie,30,98
Alice,38,99
Alice,23,98
Charlie,20,81
Charlie,25,95
Alice,38,87
Alice,36,99
Alice,28,98
Alice,28,89
Bob,24,77
Bob,20,99
Bob,28,85
Bob,23,96
Charlie,37,96
Alice,28,78
Bob,34,86
Bob,23,78
Charlie,24,80
Bob,27,79
Charlie,29,81
Charlie,23,71
Bob,32,92
Bob,33,90
Alice,22,91
Alice,22,70
Bob,27,95
Alice,24,87
Charlie,38,98
